rn,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0044282,BP,GO:0044282,small molecule catabolic process,187/2907,375/18870,3.21077764910007e-56,1.92100826745657e-52,1.53441373967519e-52,CYP26B1/PON1/ALDH3B1/UPP2/AASS/DPEP1/CYP24A1/HSD17B6/OTC/ACAA1/HAGH/PFKP/PKM/SCARB1/CYP2W1/ABCB11/ACAT1/ACACB/BCKDHB/OXCT1/HAL/XYLB/CRAT/CYP26A1/UPB1/GCAT/GSTZ1/PCK2/HAO1/LPIN2/LONP2/MLYCD/QPRT/FAH/DECR1/DHDH/IL4I1/SULT2A1/GCDH/PON3/HIBADH/GCK/PHYH/ASPA/GALK1/ENO3/SULT1E1/AADAT/DAO/CYP27B1/ALDH2/ENO2/AICDA/ALDH5A1/AGXT2/EHHADH/HGD/PCCB/ACADL/KYNU/SCP2/HAO2/KMO/ACADM/HMGCL/ALDH8A1/ARG1/ALDH6A1/GOT1/ACAT2/ECHDC2/AKR1D1/ACADS/SARDH/PCK1/NQO2/GOT2/ECHS1/TST/GAD1/IVD/CDO1/APOE/IDO1/HACL1/RIDA/ALDH3B2/HSD17B4/SDS/GLS2/CYP27A1/MTHFS/GAD2/ALDOB/ALDH1B1/DBT/HADH/ETFBKMT/AMDHD1/CSAD/SORD/SLC27A2/HDC/CYP1A1/NUDT7/GCSH/SLC16A3/ADCY10/GALM/ABHD1/ALDH1L1/HMGCLL1/CYP39A1/AIG1/ADHFE1/IDNK/GLUD1/TKFC/MAT1A/QDPR/TDO2/ACMSD/SLC16A1/HK1/CPT2/HPD/XDH/CDA/HK2/ALDH4A1/UROC1/CBS/FTCD/CYP3A4/ACOX1/HAAO/FABP1/BDH2/CRYL1/GPT2/LDHC/LDHD/ACAA2/GPT/CYP7A1/GLYCTK/ACOX2/MFSD2A/DCXR/ETFDH/PAH/CYP4F11/AGXT/CARNS1/SULT1B1/FUT2/SHMT1/ACOT4/GLDC/APOBEC3B/PIPOX/GLUD2/ABAT/AFMID/CYP4F2/CYP4F12/CYP4F3/PPARA/CYP4A11/DPYD/IDO2/ACADSB/FUT4/SULT1A1/SULT1C4/ADH4/HIBCH/TAT/ECI2/GK/DDO/GALT/PLIN5/ACAD11/APOBEC3C/PRODH2/ARHGAP11B,187
GO:0016054,BP,GO:0016054,organic acid catabolic process,138/2907,252/18870,7.38915054307778e-48,1.47364292330781e-44,1.17707871809029e-44,CYP26B1/PON1/AASS/DPEP1/OTC/ACAA1/CYP2W1/ABCB11/ACAT1/ACACB/BCKDHB/HAL/XYLB/CRAT/CYP26A1/GCAT/GSTZ1/PCK2/HAO1/LPIN2/LONP2/MLYCD/QPRT/FAH/DECR1/IL4I1/SULT2A1/GCDH/PON3/HIBADH/PHYH/ASPA/AADAT/DAO/ALDH5A1/AGXT2/EHHADH/HGD/PCCB/ACADL/KYNU/SCP2/HAO2/KMO/ACADM/HMGCL/ALDH8A1/ARG1/ALDH6A1/GOT1/ACAT2/ECHDC2/AKR1D1/ACADS/SARDH/PCK1/GOT2/ECHS1/TST/GAD1/IVD/CDO1/IDO1/HACL1/RIDA/HSD17B4/SDS/GLS2/MTHFS/GAD2/DBT/HADH/ETFBKMT/AMDHD1/CSAD/SORD/SLC27A2/HDC/NUDT7/GCSH/SLC16A3/ABHD1/ALDH1L1/HMGCLL1/AIG1/ADHFE1/IDNK/GLUD1/MAT1A/QDPR/TDO2/ACMSD/SLC16A1/CPT2/HPD/ALDH4A1/UROC1/CBS/FTCD/ACOX1/HAAO/FABP1/BDH2/CRYL1/GPT2/LDHC/LDHD/ACAA2/GPT/ACOX2/MFSD2A/DCXR/ETFDH/PAH/AGXT/CARNS1/SHMT1/ACOT4/GLDC/PIPOX/GLUD2/ABAT/AFMID/CYP4F2/CYP4F12/CYP4F3/PPARA/CYP4A11/IDO2/ACADSB/HIBCH/TAT/ECI2/DDO/PLIN5/ACAD11/PRODH2/ARHGAP11B,138
GO:0046395,BP,GO:0046395,carboxylic acid catabolic process,138/2907,252/18870,7.38915054307778e-48,1.47364292330781e-44,1.17707871809029e-44,CYP26B1/PON1/AASS/DPEP1/OTC/ACAA1/CYP2W1/ABCB11/ACAT1/ACACB/BCKDHB/HAL/XYLB/CRAT/CYP26A1/GCAT/GSTZ1/PCK2/HAO1/LPIN2/LONP2/MLYCD/QPRT/FAH/DECR1/IL4I1/SULT2A1/GCDH/PON3/HIBADH/PHYH/ASPA/AADAT/DAO/ALDH5A1/AGXT2/EHHADH/HGD/PCCB/ACADL/KYNU/SCP2/HAO2/KMO/ACADM/HMGCL/ALDH8A1/ARG1/ALDH6A1/GOT1/ACAT2/ECHDC2/AKR1D1/ACADS/SARDH/PCK1/GOT2/ECHS1/TST/GAD1/IVD/CDO1/IDO1/HACL1/RIDA/HSD17B4/SDS/GLS2/MTHFS/GAD2/DBT/HADH/ETFBKMT/AMDHD1/CSAD/SORD/SLC27A2/HDC/NUDT7/GCSH/SLC16A3/ABHD1/ALDH1L1/HMGCLL1/AIG1/ADHFE1/IDNK/GLUD1/MAT1A/QDPR/TDO2/ACMSD/SLC16A1/CPT2/HPD/ALDH4A1/UROC1/CBS/FTCD/ACOX1/HAAO/FABP1/BDH2/CRYL1/GPT2/LDHC/LDHD/ACAA2/GPT/ACOX2/MFSD2A/DCXR/ETFDH/PAH/AGXT/CARNS1/SHMT1/ACOT4/GLDC/PIPOX/GLUD2/ABAT/AFMID/CYP4F2/CYP4F12/CYP4F3/PPARA/CYP4A11/IDO2/ACADSB/HIBCH/TAT/ECI2/DDO/PLIN5/ACAD11/PRODH2/ARHGAP11B,138
GO:1901605,BP,GO:1901605,alpha-amino acid metabolic process,107/2907,207/18870,2.49876529035481e-34,3.7375281830482e-31,2.98536695216074e-31,GCLC/SLC25A13/AASS/IYD/NR1H4/DPEP1/CPS1/OTC/ASNS/ACAT1/DCT/HAL/NOX4/PHGDH/GCAT/GSTZ1/MTHFD1/HNF4A/HAO1/FAH/OCA2/IL4I1/GCDH/HIBADH/ASPA/AADAT/DAO/SLC38A1/ALDH5A1/AGXT2/HGD/KYNU/CTH/AGMAT/KMO/HMGCL/ALDH8A1/ARG1/ALDH6A1/GOT1/SARDH/NDP/GNMT/GOT2/ASL/GAD1/IVD/CDO1/ASS1/IDO1/GFPT2/RIDA/BHMT2/PSAT1/SDS/GLS2/MTHFS/GAD2/BAAT/SLC39A8/AMDHD1/CSAD/GCSH/BHMT/MMUT/HMGCLL1/ADHFE1/GLUD1/GLYAT/SLC7A11/MAT1A/QDPR/TDO2/ACMSD/HPD/ALDH4A1/UROC1/CBS/FTCD/NAGS/HAAO/GPT2/ASPG/PCBD1/GLYATL1/GPT/PAH/TTC36/AGXT/MSRA/SHMT1/RIMKLA/GLDC/PIPOX/ADI1/GLUD2/PYCR1/AFMID/ADSS1/NAT8L/IDO2/ACADSB/HIBCH/TAT/DDO/PRODH2/ARHGAP11B,107
GO:0006805,BP,GO:0006805,xenobiotic metabolic process,75/2907,125/18870,4.17607722611465e-30,4.99709400876879e-27,3.99145065401274e-27,CYP26B1/ABCC2/ACAA1/ACSM2B/RORA/CYP2W1/ABCB11/FMO4/GSTP1/SLCO1A2/SMOX/CYP26A1/CYP2D6/HNF4A/ABCC1/SULT2A1/CYP2C18/SLCO1B3/BCHE/AADAC/ABCC4/POR/CYP2E1/FMO5/SLCO1B1/CYP2J2/SLC22A7/BPHL/SLCO2B1/SLC28A2/CYP2C9/CYP2C8/AOX1/CYP1A1/CYP1A2/RORC/EPHX1/NR1I2/NCEH1/GLYAT/ACSL1/NAT2/CBR1/CBR3/CYP3A4/CYP3A7/S100A12/CMBL/CYP2C19/UGT2B7/NAT1/CES3/CES2/SULT1B1/SLC22A1/GRIN1/NQO1/CYP4F2/CYP4F12/SULT1A1/UGT2B15/CYP2B6/SLC28A3/CYP2A13/UGT2B17/SULT1C4/CYP2A7/UGT1A9/UGT1A1/UGT1A8/UGT1A10/UGT1A3/GSTA1/GSTA2/CYP2A6,75
GO:0009063,BP,GO:0009063,amino acid catabolic process,70/2907,113/18870,2.03628349455259e-29,2.03051402465135e-26,1.62188194127522e-26,AASS/OTC/ACAT1/BCKDHB/HAL/GCAT/GSTZ1/FAH/IL4I1/HIBADH/ASPA/AADAT/DAO/ALDH5A1/AGXT2/HGD/KYNU/KMO/HMGCL/ALDH8A1/ARG1/ALDH6A1/GOT1/SARDH/GOT2/ECHS1/GAD1/IVD/CDO1/IDO1/RIDA/SDS/GLS2/GAD2/DBT/AMDHD1/CSAD/HDC/GCSH/HMGCLL1/ADHFE1/GLUD1/MAT1A/QDPR/TDO2/ACMSD/HPD/ALDH4A1/UROC1/CBS/FTCD/HAAO/GPT2/GPT/PAH/AGXT/CARNS1/SHMT1/GLDC/PIPOX/GLUD2/ABAT/AFMID/IDO2/ACADSB/HIBCH/TAT/DDO/PRODH2/ARHGAP11B,70
GO:0006520,BP,GO:0006520,amino acid metabolic process,124/2907,291/18870,3.84516336777715e-29,3.19526803105082e-26,2.55223428854926e-26,GCLC/SLC25A13/AASS/IYD/NR1H4/DPEP1/CPS1/OTC/ASNS/ACAT1/DCT/BCKDHB/HAL/NOX4/PHGDH/UPB1/GCAT/GSTZ1/MTHFD1/HNF4A/HAO1/FAH/OCA2/IL4I1/GCDH/HIBADH/ASPA/AADAT/DAO/SLC38A1/ALDH5A1/AGXT2/HGD/PCCB/KYNU/CTH/AGMAT/KMO/HMGCL/ALDH8A1/ARG1/ALDH6A1/GOT1/SARDH/PEPD/NDP/GNMT/GOT2/ASL/ECHS1/GAD1/IVD/TPH1/CDO1/ASS1/IDO1/GFPT2/DDC/RIDA/BHMT2/PSAT1/SDS/GLS2/MTHFS/GAD2/BAAT/BPHL/DBT/SLC39A8/AMDHD1/CSAD/HDC/GCSH/BHMT/MMUT/HMGCLL1/SLC16A2/ADHFE1/GLUD1/GLYAT/SLC7A11/MAT1A/QDPR/TDO2/ACMSD/HPD/ALDH4A1/UROC1/CBS/FTCD/NAGS/HAAO/ALDH1A1/GPT2/ASPG/PCBD1/GLYATL1/GPT/PAH/TTC36/AGXT/CARNS1/MSRA/SHMT1/RIMKLA/GLDC/PIPOX/ADI1/GLUD2/PYCR1/ABAT/AFMID/ADSS1/NAT8L/HPDL/DPYD/IDO2/ACADSB/HIBCH/TAT/DDO/DIO1/PRODH2/ARHGAP11B,124
GO:0009410,BP,GO:0009410,response to xenobiotic stimulus,161/2907,434/18870,4.27246268567718e-29,3.19526803105082e-26,2.55223428854926e-26,GCLC/CYP26B1/ITGA3/PAX6/DPEP1/CPS1/ABCC2/OTC/KCNQ1/KCNH2/ACAA1/CDH3/PDE4A/ACSM2B/ABCC9/RORA/CYP2W1/ABCB11/SEMA3C/FMO4/ACACB/TP73/CPB2/GSTP1/SLCO1A2/RAD54L/SMOX/ABCC6/CYP26A1/CYP2D6/SLC10A1/HNF4A/E2F1/ABCC1/SLC6A2/TRPA1/AMH/SULT2A1/FGF21/CA9/CYP2C18/SLC6A4/SLC1A2/SLCO1B3/GPLD1/BCHE/AADAC/IGFBP2/CENPF/ADRA1A/KCNJ8/CAT/ABCC4/FOSB/POR/ADORA2A/CYP2E1/ASS1/SLC34A1/FMO5/SLC6A11/VAV3/HMGCS2/SLCO1B1/CYP2J2/HTR1B/EMX1/IL10/GAD2/SLC22A7/BPHL/SLCO2B1/SLC28A2/ABCG5/CYP2C9/CYP2C8/AOX1/HADH/PRICKLE1/CYP1A1/CYP1A2/SOD1/SLC6A3/RORC/EPHX1/REN/ABCG8/NR1I2/NCEH1/SRD5A1/CRHBP/PLIN2/ALAD/ANKRD1/GLYAT/ACSL1/CCNO/UCHL1/NAT2/LRP8/APOA2/CBR1/CBR3/ACE/CYP3A4/CYP3A7/C1orf115/S100A12/ATP1A1/ITGA2/CMBL/ADCY1/ABCA1/FBP1/SLITRK5/RET/CYP2C19/NNMT/ABCA3/CDK1/FOS/NPAS2/UGT2B7/NAT1/CES3/CES2/SULT1B1/SLC22A1/HSD11B2/GRIN1/OXTR/NQO1/GABRG3/COL18A1/ABAT/GRIN2A/KCNQ3/DRD1/ADSS1/CYP4F2/CYP4F12/KCNJ11/SULT1A1/UGT2B15/SRC/CYP2B6/SLC28A3/CYP2A13/UGT2B17/SULT1C4/CYP2A7/CERS1/UGT1A9/UGT1A1/UGT1A8/UGT1A10/UGT1A3/GSTA1/GSTA2/CYP2A6/SRD5A2,161
GO:0071466,BP,GO:0071466,cellular response to xenobiotic stimulus,94/2907,192/18870,6.0442547334596e-28,4.01808623003209e-25,3.20946391694814e-25,CYP26B1/PAX6/DPEP1/ABCC2/KCNQ1/KCNH2/ACAA1/PDE4A/ACSM2B/RORA/CYP2W1/ABCB11/FMO4/GSTP1/SLCO1A2/SMOX/CYP26A1/CYP2D6/SLC10A1/HNF4A/E2F1/ABCC1/SULT2A1/FGF21/CYP2C18/SLCO1B3/GPLD1/BCHE/AADAC/ABCC4/POR/CYP2E1/FMO5/SLCO1B1/CYP2J2/HTR1B/SLC22A7/BPHL/SLCO2B1/SLC28A2/CYP2C9/CYP2C8/AOX1/CYP1A1/CYP1A2/RORC/EPHX1/REN/NR1I2/NCEH1/CRHBP/ANKRD1/GLYAT/ACSL1/UCHL1/NAT2/CBR1/CBR3/CYP3A4/CYP3A7/S100A12/CMBL/ABCA1/FBP1/CYP2C19/UGT2B7/NAT1/CES3/CES2/SULT1B1/SLC22A1/GRIN1/NQO1/KCNQ3/ADSS1/CYP4F2/CYP4F12/SULT1A1/UGT2B15/CYP2B6/SLC28A3/CYP2A13/UGT2B17/SULT1C4/CYP2A7/CERS1/UGT1A9/UGT1A1/UGT1A8/UGT1A10/UGT1A3/GSTA1/GSTA2/CYP2A6,94
GO:0008202,BP,GO:0008202,steroid metabolic process,129/2907,327/18870,2.05695732595355e-26,1.23067756811801e-23,9.8300907998201e-24,CFTR/CYP26B1/PON1/OSBPL7/NR1H4/CYP24A1/CYP3A43/HSD17B6/MSMO1/ACAA1/IDI1/RORA/OSBPL3/SCARB1/ABCB11/AFP/SLC27A5/APOB/HSD17B14/CETP/SULT2B1/ESR1/CYP26A1/SEC14L2/CYP2D6/DHRS2/AQP8/LHB/DKKL1/SULT2A1/ERLIN1/UGT2B10/SULT1E1/SC5D/APOA4/CYP27B1/GNB3/BMP5/HMGCS1/HMGCR/IL1A/ACADL/CHST10/SCP2/LEPR/HSD11B1/APOA1/SPP1/EPHX2/CAT/AKR1D1/APOE/APOC1/SULT4A1/CYP2E1/FMO5/NR0B2/ANGPTL3/HSD17B4/ERG28/HMGCS2/RDH5/CYP27A1/EDNRB/BAAT/FDX1/CYP2C9/CYP2C8/RDH16/SLC27A2/IGF1R/CYP1A1/CYP1A2/SOD1/RORC/NR1I2/GC/CYP4V2/SRD5A1/CYP39A1/EBP/TM7SF2/ABCA5/UGT2B4/DHRS4/APOA2/CBR1/G6PD/LSS/CYP3A4/CYP3A7/BDH1/ATP1A1/STARD4/ABCA1/CYP2C19/SERPINA12/LIPC/ACAA2/SOAT2/CYP7A1/ACOX2/PCSK9/SERPINA6/FAXDC2/UGT2B7/DHCR7/APOF/HSD11B2/CYP8B1/TSKU/INSIG1/SULT1A1/UGT2B15/CYP2B6/UGT2B17/AKR1C4/CES1/HSD17B8/DISP3/LCAT/AKR1B15/UGT1A1/UGT1A8/UGT1A3/UGT1A4/CEBPA/CYP2A6/SRD5A2,129
